,Unnamed: 0,id,tag,csn,Choicesituation,Scenario,Block,CS,Choice_,ASCsq,ROAD,DIST,FREQ,PARK,RECRE,PRICE,Abgeschlossen,LetzteSeite,Datumgestartet,DatumletzteAktivitt,AGE,STAY,WasistIhrePostleitzahl,Beruf_Sonst,WasstudierenSie,WasstudierenSieSonstiges,WieweitistdienchsteHaltest,WennjawievielwrdenSieeinm,GEN,PROF,MODE,MODEFR,COMMODE,INCOME,SindSiegrundstzlichbereitf,WrenSiebereitsichfrdasP,WelcheParteihabenSiebeider,CHILD,RES,OWNB,OWNC,_merge,CF,CF_car,CF_stay,CF_pt,CF_age,CF_male,CF_income,CF_child,CF_bike,BIKELANE,BIKESEP,DIST6,DIST3,FREQ_HIGHER,FREQ_HIGHEST,UNGUARDED,GUARDED,ID_1
10,10,3,0,4,17,2,4,Konzept A,0,0,2,1,3,1,2,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
11,11,3,0,4,17,3,4,Konzept A,0,1,1,1,1,1,1,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,12,3,0,5,22,1,4,Konzept B,0,0,3,3,2,3,2,2,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1
13,13,3,0,5,22,2,4,Konzept B,1,0,3,1,1,1,3,2,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,14,3,0,5,22,3,4,Konzept B,0,1,1,1,1,1,1,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,15,3,0,6,23,1,4,Konzept A,1,0,2,3,3,2,3,4,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
16,16,3,0,6,23,2,4,Konzept A,0,0,3,2,1,1,2,1,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
17,17,3,0,6,23,3,4,Konzept A,0,1,1,1,1,1,1,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,18,3,0,7,29,1,4,Konzept B,0,0,3,1,3,2,2,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
19,19,3,0,7,29,2,4,Konzept B,1,0,3,3,2,2,3,4,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
20,20,3,0,7,29,3,4,Konzept B,0,1,1,1,1,1,1,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,21,3,0,8,34,1,4,Konzept A,1,0,2,2,3,2,1,1,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
22,22,3,0,8,34,2,4,Konzept A,0,0,1,3,3,2,1,3,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
23,23,3,0,8,34,3,4,Konzept A,0,1,1,1,1,1,1,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
24,24,3,0,9,35,1,4,Konzept B,0,0,1,2,1,1,2,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
25,25,3,0,9,35,2,4,Konzept B,1,0,1,1,3,2,3,2,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,matched (3),1.0,0.0,1.0,5.0,28.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
26,26,3,0,9,35,3,4,Konzept B,0,1,1,1,1,1,1,6,2014-07-08 10:14:47,44,2014-07-08 10:06:57,2014-07-08 10:14:47,28.0,9.0,12059.0,,Sonstiges,Philosophie,2,1000.0,1,Student_in,2,5,3,2,Ja,Ja,Grüne,1,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27,27,4,1,10,1,1,1,Konzept A,1,0,2,2,1,3,2,5,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
28,28,4,0,10,1,2,1,Konzept A,0,0,1,3,2,1,2,1,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
29,29,4,0,10,1,3,1,Konzept A,0,1,1,1,1,1,1,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
30,30,4,0,11,6,1,1,Konzept B,0,0,1,1,1,2,2,5,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
31,31,4,0,11,6,2,1,Konzept B,1,0,3,2,3,1,1,3,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2
32,32,4,0,11,6,3,1,Konzept B,0,1,1,1,1,1,1,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
33,33,4,0,12,7,1,1,Konzept B,0,0,2,1,2,1,1,3,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
34,34,4,0,12,7,2,1,Konzept B,1,0,3,3,3,1,2,5,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2
35,35,4,0,12,7,3,1,Konzept B,0,1,1,1,1,1,1,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
36,36,4,0,13,13,1,1,Konzept B,0,0,1,1,2,2,1,4,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2
37,37,4,0,13,13,2,1,Konzept B,1,0,2,2,1,2,3,2,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2
38,38,4,0,13,13,3,1,Konzept B,0,1,1,1,1,1,1,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
39,39,4,0,14,18,1,1,Konzept B,0,0,3,3,2,1,1,4,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2
40,40,4,0,14,18,2,1,Konzept B,1,0,1,1,2,2,2,1,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2
41,41,4,0,14,18,3,1,Konzept B,0,1,1,1,1,1,1,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
42,42,4,0,15,19,1,1,Konzept A,1,0,1,3,3,3,3,2,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2
43,43,4,0,15,19,2,1,Konzept A,0,0,1,2,2,2,3,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2
44,44,4,0,15,19,3,1,Konzept A,0,1,1,1,1,1,1,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
45,45,4,0,16,25,1,1,Konzept B,0,0,3,3,3,1,3,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2
46,46,4,0,16,25,2,1,Konzept B,1,0,3,1,3,3,1,3,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2
47,47,4,0,16,25,3,1,Konzept B,0,1,1,1,1,1,1,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
48,48,4,0,17,30,1,1,Konzept B,0,0,2,2,3,3,3,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2
49,49,4,0,17,30,2,1,Konzept B,1,0,2,3,1,3,3,2,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
50,50,4,0,17,30,3,1,Konzept B,0,1,1,1,1,1,1,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
51,51,4,0,18,31,1,1,Konzept A,1,0,3,2,1,2,2,1,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2
52,52,4,0,18,31,2,1,Konzept A,0,0,2,1,1,3,1,4,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,matched (3),1.0,0.0,1.0,4.0,27.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
53,53,4,0,18,31,3,1,Konzept A,0,1,1,1,1,1,1,6,2014-07-08 10:18:06,44,2014-07-08 10:07:38,2014-07-08 10:18:06,27.0,6.0,10997.0,,keine Angabe,,5,300.0,0,Student_in,3,4,3,1,Ja,Nein,Die Linke,2,1,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
54,54,6,1,19,3,1,2,Konzept B,0,0,2,3,2,3,2,3,2014-07-08 13:40:00,44,2014-07-08 10:07:44,2014-07-08 13:40:00,22.0,3.0,10315.0,,,,1,,1,berufstätig,2,5,3,2,Nein,Ja,Andere,1,0,1,0,matched (3),1.0,0.0,0.0,5.0,22.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3
55,55,6,0,19,3,2,2,Konzept B,1,0,2,2,3,2,1,4,2014-07-08 13:40:00,44,2014-07-08 10:07:44,2014-07-08 13:40:00,22.0,3.0,10315.0,,,,1,,1,berufstätig,2,5,3,2,Nein,Ja,Andere,1,0,1,0,matched (3),1.0,0.0,0.0,5.0,22.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3
56,56,6,0,19,3,3,2,Konzept B,0,1,1,1,1,1,1,6,2014-07-08 13:40:00,44,2014-07-08 10:07:44,2014-07-08 13:40:00,22.0,3.0,10315.0,,,,1,,1,berufstätig,2,5,3,2,Nein,Ja,Andere,1,0,1,0,using only (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
57,57,6,0,20,4,1,2,Konzept B,0,0,3,2,2,2,3,6,2014-07-08 13:40:00,44,2014-07-08 10:07:44,2014-07-08 13:40:00,22.0,3.0,10315.0,,,,1,,1,berufstätig,2,5,3,2,Nein,Ja,Andere,1,0,1,0,matched (3),1.0,0.0,0.0,5.0,22.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3
58,58,6,0,20,4,2,2,Konzept B,1,0,1,2,2,1,1,5,2014-07-08 13:40:00,44,2014-07-08 10:07:44,2014-07-08 13:40:00,22.0,3.0,10315.0,,,,1,,1,berufstätig,2,5,3,2,Nein,Ja,Andere,1,0,1,0,matched (3),1.0,0.0,0.0,5.0,22.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3
